"name","code","localCode","address","lon","lat","num","quyu"
"国泰广场站","01130070","0113040070","府前街 国泰商场北侧","116.652572199","40.1298229816","45","0113"
"胜利南门站","01130071","0113020071","便民街 胜利小区南门东侧","116.655353929","40.1346704138","45","0113"
"裕龙二区2站","01130072","0113020072","裕龙二街 裕龙二区南门东侧","116.667857325","40.1204403159","20","0113"
"裕龙一区2站","01130073","0113020073","裕龙二街 裕龙一区北门西侧","116.667232157","40.1202358506","25","0113"
"隆华购物中心站","01130074","0113040074","新顺南大街 隆华购物中心地下停车场东侧","116.651025484","40.1269688446","45","0113"
"AMB大厦站","01130075","0113030075","仓上街 AMB商业大厦北侧","116.65838423","40.1119878123","25","0113"
"石园南区东门站","01130076","0113020076","顺仁路 石园南区东门南侧","116.664645949","40.1055705647","40","0113"
"裕龙四区南门2站","01130077","0113020077","裕龙二街 裕龙四区南门对面","116.671040043","40.1202498794","25","0113"
"裕龙四区北门西站","01130078","0113020078","拥军路 裕龙四区北门西侧","116.671559592","40.1234390317","25","0113"
"裕龙四区北门东站","01130079","0113020079","拥军路 裕龙四区北门东侧","116.67283553","40.1234213908","45","0113"
"石门市场1站","01130080","0113080080","顺于路 石门市场东侧 南边","116.627770191","40.1290519321","45","0113"
"石门市场2站","01130081","0113080081","顺于路 石门市场东侧 北边","116.627752205","40.1291491585","45","0113"
"梅沟营车站站","01130082","0113070082","顺白路 梅沟营车站东侧","116.64132839","40.1189330449","40","0113"
"裕龙四区南门1站","01130083","0113020083","裕龙二街 裕龙四区南门对面","116.671330204","40.120249219","20","0113"
"顺义总工会站","01130084","0113020084","光明街 顺义总工会北侧","116.657340455","40.1267396331","25","0113"
"五里仓兴顺宝典站","01130085","0113020085","顺平辅路 金色时光孕婴儿童商城北侧","116.651731131","40.1170951349","30","0113"
"图书馆站","01130086","0113030086","拥军路 文艺委员会北侧","116.657802125","40.1224253976","35","0113"
"拥军路东口站","01130087","0113080087","拥军路 歌华有线北侧","116.665814764","40.1232717257","35","0113"
"民生银行西门1站","01130088","0113030088","通顺路 民生银行西门 南侧 东边","116.660550734","40.1614385075","45","0113"
"民生银行西门2站","01130089","0113030089","通顺路 民生银行西门 南侧 西边","116.660349849","40.1614322659","45","0113"
"金蝶软件南门站","01130090","0113030090","金蝶软件南门 西侧 ","116.664770359","40.1601181588","45","0113"
"港馨东区2站","01130091","0113020091","顺福路 港新家园东区西门南侧","116.688525186","40.1048467359","25","0113"
"港馨西区2站","01130092","0113020092","平沿路 港新家园西区南门东侧","116.679413857","40.1035647297","25","0113"
"自来水公司2站","01130093","0113080093","大东路 自来水公司东侧篮球场北侧","116.66477494","40.1295846869","20","0113"
"旺泉街道站","01130094","0113020094","旺泉北街 旺泉寺幼儿园东侧","116.636109301","40.1230507457","35","0113"
"仁和镇政府站","01130095","0113030095","顺义区仁和镇政府南门东侧车位","116.65370962","40.1175765499","45","0113"
"管理服务中心站","01140001","","智通路管理服务中心门口西侧","116.237267548","40.1968461056","32","0114"
"富泉花园站","01140002","","白浮泉路富泉花园南门东侧（北）","116.248089306","40.2004641943","44","0114"
"环保局站","01140003","","创新路与白浮泉路东北角","116.240891856","40.2004356181","38","0114"
"北控科技大厦站","01140004","","白浮泉路与永安路交叉口东南角","116.23431894","40.2002816434","38","0114"
"水屯桥站","01140005","","白浮泉路与G6辅路东北角","116.230529336","40.2003577269","40","0114"
"科技园管委站","01140006","","超前路，科技园管委会门前东侧（北）","116.238258223","40.2038713127","50","0114"
"金隅观澜社区站","01140007","","龙水路，金隅观澜社区南侧人行道","116.258680155","40.2076219563","40","0114"
"世涛天朗小区站","01140008","","振兴路与昌盛路东北角","116.251289308","40.2081247266","40","0114"
"规划分局站","01140009","","振兴路，规划分局门口东侧人行道（北）","116.243284361","40.207809254","30","0114"
"亚东大厦站","01140010","","永安路与振兴路东南角","116.234256016","40.207372752","46","0114"
"昌盛园小区站","01140011","","昌一路昌盛园小区公交站西侧","116.250943739","40.2091289044","36","0114"
"北京风景站","01140012","","内环东路与南环路东北角","116.288409575","40.2129112169","36","0114"
"四合新村站","01140013","","南环路四合新村南门对面","116.278486","40.2127140986","44","0114"
"广电中心站","01140014","","南环东路与龙水路交叉口，东门南侧（西）","116.258342218","40.2131798592","58","0114"
"城南办事处站","01140015","","城南办事处东门北侧","116.254976208","40.212691561","50","0114"
"移动公司站","01140016","","富康路与南环南路东南角","116.24511941","40.2128432425","38","0114"
"市政管委站","01140017","","南环路市政市容管理委员会西侧（北）","116.238747035","40.2130392148","36","0114"
"金隅万科城站","01140018","","南环路，金隅万科城东门北侧（南）","116.240316002","40.2124652884","48","0114"
"商务局站","01140019","","南环路商务委员会门口西侧人行道（北）","116.23199878","40.2128520866","28","0114"
"永安公园站","01140020","","西环路，永安公园东门南侧人行道（西）","116.226980509","40.2134492408","52","0114"
"化工大学西门站","01140021","","亢山路化工大学西门南侧人行道","116.250972246","40.2138955475","40","0114"
